City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,margate,51.3813,1.3862,292.42,64,62,0.89,GB,1720634647
245,seoni,22.0833,79.5333,298.79,89,69,2.33,IN,1720634648
246,keflavik,64.0049,-22.5624,284.39,93,100,7.2,IS,1720634649
247,urangan,-25.3,152.9,289.48,90,0,4.99,AU,1720634510
248,lago da pedra,-4.3333,-45.1667,308.36,32,16,2.48,BR,1720634652
249,lys'va,58.1086,57.8053,294.37,72,52,0.93,RU,1720634653
250,luderitz,-26.6481,15.1594,287.99,81,47,1.32,NA,1720634654
251,al jawf,29.5,38.75,307.73,13,0,3.36,SA,1720634655
252,inhambane,-23.865,35.3833,294.14,78,0,0.0,MZ,1720634656
253,brisas de zicatela,15.8369,-97.0419,303.02,68,93,4.09,MX,1720634657
254,grabovo,53.3875,45.064,296.45,66,2,3.54,RU,1720634658
255,sitka,57.0531,-135.33,286.09,88,100,1.54,US,1720634659
256,trimbak,19.9333,73.55,295.44,93,80,4.72,IN,1720634661
257,coahuayana de hidalgo,18.7,-103.6583,303.03,69,100,2.8,MX,1720634662
258,caleta olivia,-46.4393,-67.5281,279.98,54,34,5.48,AR,1720634147
259,bandarbeyla,9.4942,50.8122,298.3,87,15,13.36,SO,1720634664
260,mirnyy,62.5353,113.9611,290.3,69,19,2.05,RU,1720634665
261,queenstown,-31.8976,26.8753,285.59,25,12,5.92,ZA,1720634666
262,howrah,22.5892,88.3103,303.15,84,40,4.63,IN,1720634667
263,kapa'a,22.0752,-159.319,299.53,76,20,6.17,US,1720634668
264,rikaze,29.25,88.8833,290.07,54,100,0.9,CN,1720634670
265,ta`u,-14.2336,-169.5144,298.74,76,95,10.12,AS,1720634672
266,amga,60.8953,131.9608,287.34,97,100,1.4,RU,1720634673
267,salalah,17.0151,54.0924,299.29,96,100,3.09,OM,1720634604
268,chokwe,-24.5333,32.9833,292.0,12,0,3.46,MZ,1720634675
269,naberezhnyye chelny,55.7561,52.4289,296.64,67,11,1.76,RU,1720634438
270,pokhara,28.2333,83.9833,295.33,92,75,1.08,NP,1720634677
271,wad az zaki,14.4619,32.2065,303.58,43,100,2.05,SD,1720634678
272,lihue,21.9789,-159.3672,299.12,76,20,6.17,US,1720634681
273,namtsy,62.7161,129.6658,286.23,98,100,1.49,RU,1720634682
274,yaren,-0.5472,166.916,301.62,69,100,4.65,NR,1720634683
275,bonthe,7.5264,-12.505,298.77,87,93,4.8,SL,1720634684
276,argentan,48.75,-0.0167,292.18,73,96,3.64,FR,1720634685
277,cutral-co,-38.9469,-69.2089,280.88,10,62,2.24,AR,1720634542
278,la ronge,55.1001,-105.2842,303.29,32,40,4.63,CA,1720634687
279,san luis de la loma,17.2706,-100.8939,301.83,68,100,1.31,MX,1720634688
280,kodiak,57.79,-152.4072,283.88,93,100,4.12,US,1720634689
281,mejit,10.2753,170.8646,301.2,81,33,7.51,MH,1720634691
282,usinsk,65.9939,57.5281,286.27,87,93,9.07,RU,1720634692
283,dazhou,31.2159,107.5009,296.13,95,100,0.82,CN,1720634693
284,molepolole,-24.4066,25.4951,287.23,11,0,2.23,BW,1720634694
